ref_rubrique;n_notif;notification
E3_SE1_R1;N1;"En amont du stage, internet ou ton entourage peuvent t'apporter un certain nombre d'informations.
Pour aller plus loin, n'hésite pas à poser des questions à ton tuteur de stage !"
E3_SE1_R1;N2;Attention, dans le monde pro on est ponctuel... c'est mal vu d'être en retard, prévois bien d'être à l'heure chaque jour
E3_SE2_R1;N1;Aucune question n’est bête  : pose des questions !
E3_SE2_R1;N2;Prends rendez-vous avec un interlocuteur : pense à lui indiquer pour combien de temps tu as besoin de lui et où vous vous retrouvez
E3_SE2_R2;N1;Décroche de ton smartphone : pas question de passer son temps à discuter avec ses amis ou à jouer en ligne
E3_SE2_R2;N2;"Tenue et language corrects exigés ;-)"
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
